antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'beer'}),"frozenset({'Unnamed: 18', 'cannedveg'})",0.293,0.303,0.167,0.5699658703071673,1.8810754795616083,0.07822100000000001,1.6208015873015875
frozenset({'cannedveg'}),"frozenset({'Unnamed: 18', 'beer'})",0.303,0.293,0.167,0.5511551155115512,1.8810754795616083,0.07822100000000001,1.575154411764706
"frozenset({'All_three', 'beer'})",frozenset({'cannedveg'}),0.293,0.303,0.167,0.5699658703071673,1.8810754795616083,0.07822100000000001,1.6208015873015875
"frozenset({'All_three', 'cannedveg'})",frozenset({'beer'}),0.303,0.293,0.167,0.5511551155115512,1.8810754795616083,0.07822100000000001,1.575154411764706
frozenset({'beer'}),"frozenset({'All_three', 'cannedveg'})",0.293,0.303,0.167,0.5699658703071673,1.8810754795616083,0.07822100000000001,1.6208015873015875
frozenset({'cannedveg'}),"frozenset({'All_three', 'beer'})",0.303,0.293,0.167,0.5511551155115512,1.8810754795616083,0.07822100000000001,1.575154411764706
"frozenset({'Unnamed: 18', 'frozenmeal'})",frozenset({'cannedmeat'}),0.302,0.204,0.075,0.24834437086092714,1.2173743669653292,0.013392000000000001,1.0589955947136565
"frozenset({'Unnamed: 18', 'cannedmeat'})",frozenset({'frozenmeal'}),0.204,0.302,0.075,0.36764705882352944,1.2173743669653294,0.013392000000000001,1.103813953488372
frozenset({'frozenmeal'}),"frozenset({'Unnamed: 18', 'cannedmeat'})",0.302,0.204,0.075,0.24834437086092714,1.2173743669653292,0.013392000000000001,1.0589955947136565
frozenset({'cannedmeat'}),"frozenset({'Unnamed: 18', 'frozenmeal'})",0.204,0.302,0.075,0.36764705882352944,1.2173743669653294,0.013392000000000001,1.103813953488372
"frozenset({'All_three', 'frozenmeal'})",frozenset({'cannedmeat'}),0.302,0.204,0.075,0.24834437086092714,1.2173743669653292,0.013392000000000001,1.0589955947136565
"frozenset({'All_three', 'cannedmeat'})",frozenset({'frozenmeal'}),0.204,0.302,0.075,0.36764705882352944,1.2173743669653294,0.013392000000000001,1.103813953488372
frozenset({'frozenmeal'}),"frozenset({'All_three', 'cannedmeat'})",0.302,0.204,0.075,0.24834437086092714,1.2173743669653292,0.013392000000000001,1.0589955947136565
frozenset({'cannedmeat'}),"frozenset({'All_three', 'frozenmeal'})",0.204,0.302,0.075,0.36764705882352944,1.2173743669653294,0.013392000000000001,1.103813953488372
"frozenset({'beer', 'fish'})",frozenset({'frozenmeal'}),0.085,0.302,0.05,0.5882352941176471,1.9477989871445267,0.02433,1.695142857142857
"frozenset({'fish', 'frozenmeal'})",frozenset({'beer'}),0.09,0.293,0.05,0.5555555555555556,1.896094046264695,0.023630000000000005,1.5907500000000003
frozenset({'beer'}),"frozenset({'fish', 'frozenmeal'})",0.293,0.09,0.05,0.17064846416382254,1.896094046264695,0.023630000000000005,1.0972427983539095
frozenset({'frozenmeal'}),"frozenset({'beer', 'fish'})",0.302,0.085,0.05,0.16556291390728478,1.9477989871445267,0.02433,1.096547619047619
"frozenset({'Unnamed: 18', 'beer'})",frozenset({'frozenmeal'}),0.293,0.302,0.17,0.5802047781569967,1.921207874692042,0.08151400000000002,1.6627154471544718
"frozenset({'Unnamed: 18', 'frozenmeal'})",frozenset({'beer'}),0.302,0.293,0.17,0.5629139072847683,1.9212078746920422,0.08151400000000002,1.6175303030303037
frozenset({'beer'}),"frozenset({'Unnamed: 18', 'frozenmeal'})",0.293,0.302,0.17,0.5802047781569967,1.921207874692042,0.08151400000000002,1.6627154471544718
frozenset({'frozenmeal'}),"frozenset({'Unnamed: 18', 'beer'})",0.302,0.293,0.17,0.5629139072847683,1.9212078746920422,0.08151400000000002,1.6175303030303037
"frozenset({'All_three', 'beer'})",frozenset({'frozenmeal'}),0.293,0.302,0.17,0.5802047781569967,1.921207874692042,0.08151400000000002,1.6627154471544718
"frozenset({'All_three', 'frozenmeal'})",frozenset({'beer'}),0.302,0.293,0.17,0.5629139072847683,1.9212078746920422,0.08151400000000002,1.6175303030303037
frozenset({'beer'}),"frozenset({'All_three', 'frozenmeal'})",0.293,0.302,0.17,0.5802047781569967,1.921207874692042,0.08151400000000002,1.6627154471544718
frozenset({'frozenmeal'}),"frozenset({'All_three', 'beer'})",0.302,0.293,0.17,0.5629139072847683,1.9212078746920422,0.08151400000000002,1.6175303030303037
"frozenset({'Unnamed: 18', 'confectionery'})",frozenset({'wine'}),0.276,0.287,0.144,0.5217391304347825,1.8179063778215419,0.06478799999999998,1.4908181818181816
"frozenset({'Unnamed: 18', 'wine'})",frozenset({'confectionery'}),0.287,0.276,0.144,0.5017421602787456,1.817906377821542,0.06478799999999998,1.4530629370629369
