antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'frozenmeal'}),"frozenset({'All_three', 'beer', 'fish'})",0.302,0.085,0.05,0.16556291390728478,1.9477989871445267,0.02433,1.096547619047619
"frozenset({'All_three', 'Unnamed: 18', 'beer'})",frozenset({'frozenmeal'}),0.293,0.302,0.17,0.5802047781569967,1.921207874692042,0.08151400000000002,1.6627154471544718
"frozenset({'All_three', 'Unnamed: 18', 'frozenmeal'})",frozenset({'beer'}),0.302,0.293,0.17,0.5629139072847683,1.9212078746920422,0.08151400000000002,1.6175303030303037
"frozenset({'All_three', 'beer'})","frozenset({'Unnamed: 18', 'frozenmeal'})",0.293,0.302,0.17,0.5802047781569967,1.921207874692042,0.08151400000000002,1.6627154471544718
"frozenset({'All_three', 'frozenmeal'})","frozenset({'Unnamed: 18', 'beer'})",0.302,0.293,0.17,0.5629139072847683,1.9212078746920422,0.08151400000000002,1.6175303030303037
"frozenset({'Unnamed: 18', 'beer'})","frozenset({'All_three', 'frozenmeal'})",0.293,0.302,0.17,0.5802047781569967,1.921207874692042,0.08151400000000002,1.6627154471544718
"frozenset({'Unnamed: 18', 'frozenmeal'})","frozenset({'All_three', 'beer'})",0.302,0.293,0.17,0.5629139072847683,1.9212078746920422,0.08151400000000002,1.6175303030303037
frozenset({'beer'}),"frozenset({'All_three', 'Unnamed: 18', 'frozenmeal'})",0.293,0.302,0.17,0.5802047781569967,1.921207874692042,0.08151400000000002,1.6627154471544718
frozenset({'frozenmeal'}),"frozenset({'All_three', 'Unnamed: 18', 'beer'})",0.302,0.293,0.17,0.5629139072847683,1.9212078746920422,0.08151400000000002,1.6175303030303037
"frozenset({'All_three', 'Unnamed: 18', 'confectionery'})",frozenset({'wine'}),0.274,0.287,0.144,0.5255474452554744,1.8311757674406774,0.06536199999999999,1.5027846153846154
"frozenset({'All_three', 'Unnamed: 18', 'wine'})",frozenset({'confectionery'}),0.287,0.276,0.144,0.5017421602787456,1.817906377821542,0.06478799999999998,1.4530629370629369
"frozenset({'All_three', 'confectionery'})","frozenset({'Unnamed: 18', 'wine'})",0.274,0.287,0.144,0.5255474452554744,1.8311757674406774,0.06536199999999999,1.5027846153846154
"frozenset({'All_three', 'wine'})","frozenset({'Unnamed: 18', 'confectionery'})",0.287,0.276,0.144,0.5017421602787456,1.817906377821542,0.06478799999999998,1.4530629370629369
"frozenset({'Unnamed: 18', 'confectionery'})","frozenset({'All_three', 'wine'})",0.276,0.287,0.144,0.5217391304347825,1.8179063778215419,0.06478799999999998,1.4908181818181816
"frozenset({'Unnamed: 18', 'wine'})","frozenset({'All_three', 'confectionery'})",0.287,0.274,0.144,0.5017421602787456,1.8311757674406774,0.06536199999999999,1.457076923076923
frozenset({'confectionery'}),"frozenset({'All_three', 'Unnamed: 18', 'wine'})",0.276,0.287,0.144,0.5217391304347825,1.8179063778215419,0.06478799999999998,1.4908181818181816
frozenset({'wine'}),"frozenset({'All_three', 'Unnamed: 18', 'confectionery'})",0.287,0.274,0.144,0.5017421602787456,1.8311757674406774,0.06536199999999999,1.457076923076923
"frozenset({'All_three', 'Unnamed: 18', 'beer', 'frozenmeal'})",frozenset({'cannedveg'}),0.17,0.303,0.146,0.8588235294117645,2.83440108716754,0.09448999999999999,4.937083333333328
"frozenset({'All_three', 'Unnamed: 18', 'frozenmeal', 'cannedveg'})",frozenset({'beer'}),0.173,0.293,0.146,0.8439306358381503,2.880309337331571,0.095311,4.530037037037038
"frozenset({'All_three', 'Unnamed: 18', 'beer', 'cannedveg'})",frozenset({'frozenmeal'}),0.167,0.302,0.146,0.8742514970059879,2.8948725066423444,0.09556599999999998,5.5507619047619
"frozenset({'All_three', 'Unnamed: 18', 'frozenmeal'})","frozenset({'beer', 'cannedveg'})",0.302,0.167,0.146,0.4834437086092715,2.894872506642344,0.09556599999999998,1.612602564102564
"frozenset({'All_three', 'beer', 'frozenmeal'})","frozenset({'Unnamed: 18', 'cannedveg'})",0.17,0.303,0.146,0.8588235294117645,2.83440108716754,0.09448999999999999,4.937083333333328
"frozenset({'All_three', 'frozenmeal', 'cannedveg'})","frozenset({'Unnamed: 18', 'beer'})",0.173,0.293,0.146,0.8439306358381503,2.880309337331571,0.095311,4.530037037037038
"frozenset({'Unnamed: 18', 'beer', 'frozenmeal'})","frozenset({'All_three', 'cannedveg'})",0.17,0.303,0.146,0.8588235294117645,2.83440108716754,0.09448999999999999,4.937083333333328
"frozenset({'Unnamed: 18', 'frozenmeal', 'cannedveg'})","frozenset({'All_three', 'beer'})",0.173,0.293,0.146,0.8439306358381503,2.880309337331571,0.095311,4.530037037037038
"frozenset({'All_three', 'Unnamed: 18', 'beer'})","frozenset({'frozenmeal', 'cannedveg'})",0.293,0.173,0.146,0.49829351535836175,2.880309337331571,0.095311,1.6483741496598638
"frozenset({'All_three', 'Unnamed: 18', 'cannedveg'})","frozenset({'beer', 'frozenmeal'})",0.303,0.17,0.146,0.48184818481848185,2.83440108716754,0.09448999999999999,1.6018471337579618
"frozenset({'All_three', 'beer', 'cannedveg'})","frozenset({'Unnamed: 18', 'frozenmeal'})",0.167,0.302,0.146,0.8742514970059879,2.8948725066423444,0.09556599999999998,5.5507619047619
"frozenset({'Unnamed: 18', 'beer', 'cannedveg'})","frozenset({'All_three', 'frozenmeal'})",0.167,0.302,0.146,0.8742514970059879,2.8948725066423444,0.09556599999999998,5.5507619047619
"frozenset({'All_three', 'frozenmeal'})","frozenset({'Unnamed: 18', 'beer', 'cannedveg'})",0.302,0.167,0.146,0.4834437086092715,2.894872506642344,0.09556599999999998,1.612602564102564
"frozenset({'Unnamed: 18', 'frozenmeal'})","frozenset({'All_three', 'beer', 'cannedveg'})",0.302,0.167,0.146,0.4834437086092715,2.894872506642344,0.09556599999999998,1.612602564102564
"frozenset({'beer', 'frozenmeal'})","frozenset({'All_three', 'Unnamed: 18', 'cannedveg'})",0.17,0.303,0.146,0.8588235294117645,2.83440108716754,0.09448999999999999,4.937083333333328
"frozenset({'frozenmeal', 'cannedveg'})","frozenset({'All_three', 'Unnamed: 18', 'beer'})",0.173,0.293,0.146,0.8439306358381503,2.880309337331571,0.095311,4.530037037037038
"frozenset({'All_three', 'beer'})","frozenset({'Unnamed: 18', 'frozenmeal', 'cannedveg'})",0.293,0.173,0.146,0.49829351535836175,2.880309337331571,0.095311,1.6483741496598638
"frozenset({'All_three', 'cannedveg'})","frozenset({'Unnamed: 18', 'beer', 'frozenmeal'})",0.303,0.17,0.146,0.48184818481848185,2.83440108716754,0.09448999999999999,1.6018471337579618
"frozenset({'Unnamed: 18', 'beer'})","frozenset({'All_three', 'frozenmeal', 'cannedveg'})",0.293,0.173,0.146,0.49829351535836175,2.880309337331571,0.095311,1.6483741496598638
"frozenset({'Unnamed: 18', 'cannedveg'})","frozenset({'All_three', 'beer', 'frozenmeal'})",0.303,0.17,0.146,0.48184818481848185,2.83440108716754,0.09448999999999999,1.6018471337579618
"frozenset({'beer', 'cannedveg'})","frozenset({'All_three', 'Unnamed: 18', 'frozenmeal'})",0.167,0.302,0.146,0.8742514970059879,2.8948725066423444,0.09556599999999998,5.5507619047619
frozenset({'frozenmeal'}),"frozenset({'All_three', 'Unnamed: 18', 'beer', 'cannedveg'})",0.302,0.167,0.146,0.4834437086092715,2.894872506642344,0.09556599999999998,1.612602564102564
frozenset({'beer'}),"frozenset({'All_three', 'Unnamed: 18', 'frozenmeal', 'cannedveg'})",0.293,0.173,0.146,0.49829351535836175,2.880309337331571,0.095311,1.6483741496598638
frozenset({'cannedveg'}),"frozenset({'All_three', 'Unnamed: 18', 'beer', 'frozenmeal'})",0.303,0.17,0.146,0.48184818481848185,2.83440108716754,0.09448999999999999,1.6018471337579618
"frozenset({'All_three', 'Unnamed: 18', 'frozenmeal', 'fish'})",frozenset({'cannedveg'}),0.09,0.303,0.051,0.5666666666666667,1.87018701870187,0.023729999999999998,1.6084615384615386
"frozenset({'All_three', 'Unnamed: 18', 'fish', 'cannedveg'})",frozenset({'frozenmeal'}),0.089,0.302,0.051,0.5730337078651685,1.8974626088250612,0.024121999999999998,1.6347894736842103
"frozenset({'All_three', 'Unnamed: 18', 'frozenmeal'})","frozenset({'fish', 'cannedveg'})",0.302,0.089,0.051,0.16887417218543047,1.8974626088250615,0.024121999999999998,1.0961035856573704
"frozenset({'All_three', 'frozenmeal', 'fish'})","frozenset({'Unnamed: 18', 'cannedveg'})",0.09,0.303,0.051,0.5666666666666667,1.87018701870187,0.023729999999999998,1.6084615384615386
"frozenset({'Unnamed: 18', 'frozenmeal', 'fish'})","frozenset({'All_three', 'cannedveg'})",0.09,0.303,0.051,0.5666666666666667,1.87018701870187,0.023729999999999998,1.6084615384615386
"frozenset({'All_three', 'Unnamed: 18', 'cannedveg'})","frozenset({'frozenmeal', 'fish'})",0.303,0.09,0.051,0.1683168316831683,1.87018701870187,0.023729999999999998,1.0941666666666665
"frozenset({'All_three', 'fish', 'cannedveg'})","frozenset({'Unnamed: 18', 'frozenmeal'})",0.089,0.302,0.051,0.5730337078651685,1.8974626088250612,0.024121999999999998,1.6347894736842103
"frozenset({'Unnamed: 18', 'fish', 'cannedveg'})","frozenset({'All_three', 'frozenmeal'})",0.089,0.302,0.051,0.5730337078651685,1.8974626088250612,0.024121999999999998,1.6347894736842103
"frozenset({'All_three', 'frozenmeal'})","frozenset({'Unnamed: 18', 'fish', 'cannedveg'})",0.302,0.089,0.051,0.16887417218543047,1.8974626088250615,0.024121999999999998,1.0961035856573704
"frozenset({'Unnamed: 18', 'frozenmeal'})","frozenset({'All_three', 'fish', 'cannedveg'})",0.302,0.089,0.051,0.16887417218543047,1.8974626088250615,0.024121999999999998,1.0961035856573704
"frozenset({'frozenmeal', 'fish'})","frozenset({'All_three', 'Unnamed: 18', 'cannedveg'})",0.09,0.303,0.051,0.5666666666666667,1.87018701870187,0.023729999999999998,1.6084615384615386
"frozenset({'All_three', 'cannedveg'})","frozenset({'Unnamed: 18', 'frozenmeal', 'fish'})",0.303,0.09,0.051,0.1683168316831683,1.87018701870187,0.023729999999999998,1.0941666666666665
"frozenset({'Unnamed: 18', 'cannedveg'})","frozenset({'All_three', 'frozenmeal', 'fish'})",0.303,0.09,0.051,0.1683168316831683,1.87018701870187,0.023729999999999998,1.0941666666666665
"frozenset({'fish', 'cannedveg'})","frozenset({'All_three', 'Unnamed: 18', 'frozenmeal'})",0.089,0.302,0.051,0.5730337078651685,1.8974626088250612,0.024121999999999998,1.6347894736842103
frozenset({'frozenmeal'}),"frozenset({'All_three', 'Unnamed: 18', 'fish', 'cannedveg'})",0.302,0.089,0.051,0.16887417218543047,1.8974626088250615,0.024121999999999998,1.0961035856573704
frozenset({'cannedveg'}),"frozenset({'All_three', 'Unnamed: 18', 'frozenmeal', 'fish'})",0.303,0.09,0.051,0.1683168316831683,1.87018701870187,0.023729999999999998,1.0941666666666665
"frozenset({'All_three', 'Unnamed: 18', 'frozenmeal', 'fish'})",frozenset({'beer'}),0.09,0.293,0.05,0.5555555555555556,1.896094046264695,0.023630000000000005,1.5907500000000003
"frozenset({'All_three', 'Unnamed: 18', 'beer', 'fish'})",frozenset({'frozenmeal'}),0.085,0.302,0.05,0.5882352941176471,1.9477989871445267,0.02433,1.695142857142857
"frozenset({'All_three', 'Unnamed: 18', 'frozenmeal'})","frozenset({'beer', 'fish'})",0.302,0.085,0.05,0.16556291390728478,1.9477989871445267,0.02433,1.096547619047619
"frozenset({'All_three', 'frozenmeal', 'fish'})","frozenset({'Unnamed: 18', 'beer'})",0.09,0.293,0.05,0.5555555555555556,1.896094046264695,0.023630000000000005,1.5907500000000003
"frozenset({'Unnamed: 18', 'frozenmeal', 'fish'})","frozenset({'All_three', 'beer'})",0.09,0.293,0.05,0.5555555555555556,1.896094046264695,0.023630000000000005,1.5907500000000003
"frozenset({'All_three', 'Unnamed: 18', 'beer'})","frozenset({'frozenmeal', 'fish'})",0.293,0.09,0.05,0.17064846416382254,1.896094046264695,0.023630000000000005,1.0972427983539095
"frozenset({'All_three', 'beer', 'fish'})","frozenset({'Unnamed: 18', 'frozenmeal'})",0.085,0.302,0.05,0.5882352941176471,1.9477989871445267,0.02433,1.695142857142857
"frozenset({'Unnamed: 18', 'beer', 'fish'})","frozenset({'All_three', 'frozenmeal'})",0.085,0.302,0.05,0.5882352941176471,1.9477989871445267,0.02433,1.695142857142857
"frozenset({'All_three', 'frozenmeal'})","frozenset({'Unnamed: 18', 'beer', 'fish'})",0.302,0.085,0.05,0.16556291390728478,1.9477989871445267,0.02433,1.096547619047619
"frozenset({'Unnamed: 18', 'frozenmeal'})","frozenset({'All_three', 'beer', 'fish'})",0.302,0.085,0.05,0.16556291390728478,1.9477989871445267,0.02433,1.096547619047619
"frozenset({'frozenmeal', 'fish'})","frozenset({'All_three', 'Unnamed: 18', 'beer'})",0.09,0.293,0.05,0.5555555555555556,1.896094046264695,0.023630000000000005,1.5907500000000003
"frozenset({'All_three', 'beer'})","frozenset({'Unnamed: 18', 'frozenmeal', 'fish'})",0.293,0.09,0.05,0.17064846416382254,1.896094046264695,0.023630000000000005,1.0972427983539095
"frozenset({'Unnamed: 18', 'beer'})","frozenset({'All_three', 'frozenmeal', 'fish'})",0.293,0.09,0.05,0.17064846416382254,1.896094046264695,0.023630000000000005,1.0972427983539095
"frozenset({'beer', 'fish'})","frozenset({'All_three', 'Unnamed: 18', 'frozenmeal'})",0.085,0.302,0.05,0.5882352941176471,1.9477989871445267,0.02433,1.695142857142857
frozenset({'frozenmeal'}),"frozenset({'All_three', 'Unnamed: 18', 'beer', 'fish'})",0.302,0.085,0.05,0.16556291390728478,1.9477989871445267,0.02433,1.096547619047619
frozenset({'beer'}),"frozenset({'All_three', 'Unnamed: 18', 'frozenmeal', 'fish'})",0.293,0.09,0.05,0.17064846416382254,1.896094046264695,0.023630000000000005,1.0972427983539095
